,0,id,frequency
0,m.0fkvn government.governmental_jurisdiction.governing_officials..government.government_position_held.basic_title,0,108
1,m.02_1yvh common.topic.notable_types,1,28
2,m.02hrh1q people.person.profession,2,2322
3,m.02_7frv common.topic.notable_types,3,458
4,m.09l65 people.person.profession,4,1021
5,m.012t_z people.person.profession,5,238
6,m.0c8wxp people.person.religion,6,604
7,m.09c7w0 people.person.nationality,7,3062
8,m.04ztj people.person.spouse_s..people.marriage.type_of_union,8,4119
9,m.03gjzk people.person.profession,9,448
10,m.02zsn people.person.gender,10,1286
11,m.02nzlrk tv.tv_producer.tv_episodes_produced..tv.tv_producer_episode_credit.role,11,7
12,m.02krf9 people.person.profession,12,205
13,m.01d_h8 people.person.profession,13,929
14,m.0cbd2 people.person.profession,14,719
15,m.060c4 business.board_member.leader_of..organization.leadership.role,15,11
16,m.02h40lc people.person.languages,16,518
17,m.0f8l9c people.person.nationality,17,316
18,m.05czvmf common.topic.notable_types,18,4
19,m.05zppz people.person.gender,19,6113
20,m.02hqyhw people.person.profession,20,51
21,m.0154yf user.alexbl.honorary_title.titled_person.honorary_title..user.alexbl.honorary_title.honorary_title_holding.honorary_title,21,1
22,m.01c979 people.person.profession,22,42
23,m.0jgjn people.person.spouse_s..people.marriage.type_of_union,23,9
24,m.0154yf royalty.chivalric_order_member.belongs_to_order..royalty.chivalric_order_membership.order,24,41
25,m.04n6k user.tsegaran.random.taxonomy_subject.entry..user.tsegaran.random.taxonomy_entry.taxonomy,25,564
26,m.01xljsr common.topic.notable_types,26,170
27,m.041r51 food.food.nutrients..food.nutrition_fact.nutrient,27,424
28,m.025s7j4 food.food.nutrients..food.nutrition_fact.nutrient,28,483
29,m.06zf0 biology.organism_classification.rank,29,177
30,m.0h1yf food.food.nutrients..food.nutrition_fact.nutrient,30,307
31,m.0fzjh food.food.nutrients..food.nutrition_fact.nutrient,31,311
32,m.0f4kp food.food.nutrients..food.nutrition_fact.nutrient,32,443
33,m.05fjkn food.food.nutrients..food.nutrition_fact.nutrient,33,122
34,m.025sf8g food.food.nutrients..food.nutrition_fact.nutrient,34,417
35,m.04zjxcz food.food.nutrients..food.nutrition_fact.nutrient,35,467
36,m.0h1sg food.food.nutrients..food.nutrition_fact.nutrient,36,299
37,m.01sh2 food.food.nutrients..food.nutrition_fact.nutrient,37,444
38,m.025rsfk food.food.nutrients..food.nutrition_fact.nutrient,38,473
39,m.025s7x6 food.food.nutrients..food.nutrition_fact.nutrient,39,470
40,m.0h1yy food.food.nutrients..food.nutrition_fact.nutrient,40,296
41,m.025sf0_ food.food.nutrients..food.nutrition_fact.nutrient,41,471
42,m.0h1vz food.food.nutrients..food.nutrition_fact.nutrient,42,317
43,m.0hqw8p_ food.food.nutrients..food.nutrition_fact.nutrient,43,273
44,m.0h1zw food.food.nutrients..food.nutrition_fact.nutrient,44,309
45,m.02kc5rj food.food.nutrients..food.nutrition_fact.nutrient,45,417
46,m.0h1tg food.food.nutrients..food.nutrition_fact.nutrient,46,300
47,m.07_hy food.ingredient.compatible_with_dietary_restrictions,47,336
48,m.02scvxs common.topic.notable_types,48,172
49,m.07hnp food.food.nutrients..food.nutrition_fact.nutrient,49,458
50,m.025s0zp food.food.nutrients..food.nutrition_fact.nutrient,50,444
51,m.06x4c food.food.nutrients..food.nutrition_fact.nutrient,51,306
52,m.07q0m food.food.nutrients..food.nutrition_fact.nutrient,52,300
53,m.02kc4sf food.food.nutrients..food.nutrition_fact.nutrient,53,414
54,m.0q01m food.food.nutrients..food.nutrition_fact.nutrient,54,288
55,m.0h1vg food.food.nutrients..food.nutrition_fact.nutrient,55,309
56,m.02kc_w5 food.food.nutrients..food.nutrition_fact.nutrient,56,261
57,m.025tkqy food.food.nutrients..food.nutrition_fact.nutrient,57,477
58,m.0f4hc food.food.nutrients..food.nutrition_fact.nutrient,58,405
59,m.0h1sz food.food.nutrients..food.nutrition_fact.nutrient,59,300
60,m.04k8n food.food.nutrients..food.nutrition_fact.nutrient,60,454
61,m.05wvs food.food.nutrients..food.nutrition_fact.nutrient,61,460
62,m.014yzm food.food.nutrients..food.nutrition_fact.nutrient,62,331
63,m.0h1_c food.food.nutrients..food.nutrition_fact.nutrient,63,309
64,m.0g5gq food.food.nutrients..food.nutrition_fact.nutrient,64,315
